iter	Passed	Remaining
0	91	91150
1	91	45870
2	92	30747
3	93	23180
4	93	18654
5	94	15635
6	94	13466
7	95	11834
8	95	10564
9	96	9547
10	97	8738
11	97	8049
12	98	7461
13	98	6958
14	99	6526
15	99	6145
16	100	5808
17	100	5509
18	101	5240
19	102	4998
20	102	4778
21	103	4579
22	103	4397
23	104	4233
24	104	4082
25	105	3943
26	105	3814
27	106	3694
28	106	3580
29	107	3473
30	107	3374
31	108	3280
32	108	3193
33	109	3110
34	109	3032
35	110	2958
36	111	2890
37	111	2829
38	112	2768
39	112	2708
40	113	2652
41	113	2598
42	114	2546
43	114	2497
44	115	2449
45	115	2404
46	116	2360
47	116	2319
48	117	2280
49	118	2244
50	118	2209
51	119	2174
52	119	2140
53	120	2106
54	120	2075
55	121	2044
56	121	2014
57	122	1985
58	122	1960
59	123	1935
60	124	1910
61	124	1886
62	125	1864
63	125	1842
64	126	1820
65	127	1798
66	127	1777
67	128	1756
68	128	1735
69	129	1715
70	129	1696
71	130	1678
72	130	1660
73	131	1642
74	131	1625
75	132	1608
76	132	1593
77	133	1578
78	134	1562
79	134	1546
80	134	1531
81	135	1517
82	135	1500
83	136	1486
84	136	1473
85	137	1459
86	137	1446
87	138	1433
88	138	1421
89	139	1408
90	139	1396
91	140	1385
92	140	1374
93	141	1363
94	142	1352
95	142	1342
96	143	1333
97	143	1322
98	144	1312
99	144	1302
100	145	1292
101	145	1283
102	146	1274
103	146	1265
104	147	1256
105	147	1248
106	148	1239
107	149	1231
108	149	1223
109	150	1214
110	150	1206
111	151	1198
112	151	1190
113	152	1182
114	152	1174
115	153	1166
116	153	1158
117	154	1151
118	154	1145
119	155	1139
120	155	1132
121	156	1125
122	156	1118
123	157	1111
124	157	1104
125	158	1098
126	158	1091
127	159	1084
128	159	1078
129	160	1073
130	160	1067
131	161	1061
132	161	1055
133	162	1050
134	163	1044
135	163	1038
136	164	1033
137	164	1027
138	165	1022
139	165	1016
140	166	1011
141	166	1005
142	166	1000
143	167	995
144	168	990
145	168	985
146	169	980
147	169	976
148	170	971
149	170	967
150	171	962
151	171	957
152	172	953
153	172	948
154	173	944
155	173	940
156	174	935
157	174	931
158	175	927
159	175	922
160	176	917
161	176	913
162	177	910
163	177	906
164	178	902
165	178	899
166	179	895
167	180	891
168	180	887
169	181	884
170	181	880
171	182	876
172	182	872
173	183	869
174	183	865
175	184	861
176	184	858
177	185	855
178	185	851
179	186	849
180	186	845
181	187	842
182	187	838
183	188	835
184	188	832
185	189	829
186	189	825
187	190	822
188	190	819
189	191	816
190	192	813
191	192	810
192	193	807
193	193	805
194	194	802
195	194	799
196	195	796
197	195	793
198	196	790
199	196	787
200	197	784
201	197	781
202	198	778
203	198	775
204	199	773
205	200	770
206	200	768
207	201	765
208	201	762
209	202	759
210	202	757
211	203	754
212	203	752
213	204	749
214	204	746
215	205	744
216	205	741
217	206	739
218	206	736
219	207	734
220	207	732
221	208	729
222	208	727
223	209	724
224	209	722
225	210	720
226	210	717
227	211	715
228	211	713
229	212	710
230	212	708
231	213	706
232	213	703
233	214	702
234	215	700
235	215	698
236	216	696
237	216	694
238	217	692
239	217	690
240	218	687
241	218	685
242	219	683
243	219	681
244	220	679
245	220	676
246	221	674
247	222	673
248	222	671
249	223	669
250	223	667
251	224	665
252	224	663
253	225	661
254	225	659
255	226	657
256	226	655
257	227	653
258	227	651
259	228	649
260	228	647
261	229	646
262	229	644
263	230	642
264	230	640
265	231	638
